Crime type,Year_Period,Percentage,Year
Burglary,Apr 2019 to Mar 2020,9.922277784,2019-20
Car crime,Apr 2019 to Mar 2020,6.818675206,2019-20
Fraud [note 5],Apr 2019 to Mar 2020,18.93605742,2019-20
Violent crime,Apr 2019 to Mar 2020,8.466514742,2019-20
Burglary,Apr 2022 to Mar 2023,7.789778477,2022-23
Car crime,Apr 2022 to Mar 2023,5.41796087,2022-23
Fraud [note 5],Apr 2022 to Mar 2023,15.81544238,2022-23
Violent crime,Apr 2022 to Mar 2023,7.682224596,2022-23
Burglary,Apr 2023 to Mar 2024,7.364805308,2023-24
Car crime,Apr 2023 to Mar 2024,6.25513354,2023-24
Fraud [note 5],Apr 2023 to Mar 2024,16.12211844,2023-24
Violent crime,Apr 2023 to Mar 2024,7.562797501,2023-24
