Region,Disorder_Type,Mean_RTT_Days,Median_RTT_Days
North West,Anxiety Disorders,28.7,26.0
North West,Depressive Episodes,32.7,29.0
Midlands,Anxiety Disorders,28.5,21.0
Midlands,Depressive Episodes,32.5,24.0
South West,Anxiety Disorders,27.5,27.0
South West,Depressive Episodes,31.5,30.0
East Of England,Anxiety Disorders,25.3,25.0
East Of England,Depressive Episodes,29.3,28.0
London,Anxiety Disorders,24.0,20.0
London,Depressive Episodes,28.0,23.0
North East & Yorkshire,Anxiety Disorders,23.4,19.0
North East & Yorkshire,Depressive Episodes,27.4,22.0
South East,Anxiety Disorders,19.5,18.0
South East,Depressive Episodes,23.5,21.0
