Measure,Average_Value
Count_WaitingForAssessment,1547.6720321931589
Count_WaitingForTreatment,1525.7237903225807
Count_WaitingForTreatment0to12weeks,1503.662393162393
Count_WaitingForTreatment0to18weeks,1502.1572327044025
Count_WaitingForTreatment0to6weeks,1393.1044444444444
Count_WaitingForTreatment0to4weeks,1185.568848758465
Count_WaitingForTreatment0to2weeks,751.8243559718969
Count_WaitingForAssessmentOver90days,164.24936386768448
Count_WaitingForTreatmentOver90days,154.4939024390244
Count_WaitingForTreatmentOver18weeks,144.58333333333334
