Date,Category,Volume_Items,Cost_GBP
2021-04-01,Antidepressants,6862319,23014809.56
2021-04-01,Anxiolytics,483137,1692714.64
2021-05-01,Antidepressants,6563559,22060043.22
2021-05-01,Anxiolytics,459171,1628434.08
2021-06-01,Antidepressants,6982730,23495456.64
2021-06-01,Anxiolytics,487805,1750104.89
2021-07-01,Antidepressants,6981825,20286403.8
2021-07-01,Anxiolytics,491575,1930162.48
2021-08-01,Antidepressants,6681705,19307098.56
2021-08-01,Anxiolytics,469539,1864570.13
2021-09-01,Antidepressants,7011301,20344034.47
2021-09-01,Anxiolytics,487173,1978683.16
2021-10-01,Antidepressants,6728197,17688939.79
2021-10-01,Anxiolytics,464492,1817456.16
2021-11-01,Antidepressants,7007233,18587439.77
2021-11-01,Anxiolytics,479443,1940392.04
2021-12-01,Antidepressants,7325890,19558361.66
2021-12-01,Anxiolytics,497675,2013786.44
2022-01-01,Antidepressants,6969149,15467799.09
2022-01-01,Anxiolytics,466152,1766349.86
2022-02-01,Antidepressants,6531533,14503133.49
2022-02-01,Anxiolytics,443277,1652725.6199999999
2022-03-01,Antidepressants,7395132,16601292.45
2022-03-01,Anxiolytics,498900,1909548.56
2022-04-01,Antidepressants,6904893,15043585.4
2022-04-01,Anxiolytics,461734,1782738.52
2022-05-01,Antidepressants,7207724,15765628.06
2022-05-01,Anxiolytics,479726,1862631.21
2022-06-01,Antidepressants,7023329,15385628.370000001
2022-06-01,Anxiolytics,466127,1851401.08
2022-07-01,Antidepressants,6980677,20350492.9
2022-07-01,Anxiolytics,458032,1799335.1300000001
2022-08-01,Antidepressants,7196808,20526826.6
2022-08-01,Anxiolytics,476865,1868866.4
2022-09-01,Antidepressants,7161643,20351277.1
2022-09-01,Anxiolytics,470809,1845250.79
2022-10-01,Antidepressants,7092445,18877271.76
2022-10-01,Anxiolytics,465434,1831981.45
2022-11-01,Antidepressants,7274885,18589017.62
2022-11-01,Anxiolytics,477293,1859135.08
2022-12-01,Antidepressants,7256307,19187447.23
2022-12-01,Anxiolytics,472907,1906542.59
2023-01-01,Antidepressants,7308472,19545179.78
2023-01-01,Anxiolytics,471510,1842232.84
2023-02-01,Antidepressants,6734088,17487367.17
2023-02-01,Anxiolytics,431126,1628029.38
2023-03-01,Antidepressants,7702876,19656644.41
2023-03-01,Anxiolytics,489962,1864027.1
2023-04-01,Antidepressants,6896436,17869694.88
2023-04-01,Anxiolytics,434455,1663899.31
2023-05-01,Antidepressants,7366399,19125567.09
2023-05-01,Anxiolytics,464700,1767502.9
2023-06-01,Antidepressants,7483362,19346307.99
2023-06-01,Anxiolytics,469139,1791819.28
2023-07-01,Antidepressants,7300496,17307677.47
2023-07-01,Anxiolytics,454177,1660517.49
2023-08-01,Antidepressants,7468015,17664028.39
2023-08-01,Anxiolytics,468913,1815851.71
2023-09-01,Antidepressants,7319883,17305642.74
2023-09-01,Anxiolytics,450195,1632408.01
2023-10-01,Antidepressants,7450134,16781713.45
2023-10-01,Anxiolytics,454006,1423696.6
2023-11-01,Antidepressants,7531613,17068611.81
2023-11-01,Anxiolytics,452225,1274245.81
2023-12-01,Antidepressants,7460547,17101675.21
2023-12-01,Anxiolytics,445534,1297494.84
2024-01-01,Antidepressants,7740205,17456205.62
2024-01-01,Anxiolytics,457072,1233186.71
2024-02-01,Antidepressants,7266201,16778832.72
2024-02-01,Anxiolytics,427946,1177268.72
2024-03-01,Antidepressants,7392496,16992133.05
2024-03-01,Anxiolytics,430728,1135118.89
2024-04-01,Antidepressants,7635602,15892653.06
2024-04-01,Anxiolytics,440956,1074270.51
2024-05-01,Antidepressants,7824035,16601641.36
2024-05-01,Anxiolytics,452450,1083262.94
2024-06-01,Antidepressants,7282712,16433522.75
2024-06-01,Anxiolytics,418294,987382.1
2024-07-01,Antidepressants,7940785,19821541.86
2024-07-01,Anxiolytics,453431,1108742.58
2024-08-01,Antidepressants,7630246,17790034.59
2024-08-01,Anxiolytics,437381,1041529.97
2024-09-01,Antidepressants,7496152,16416500.34
2024-09-01,Anxiolytics,423445,1167837.07
2024-10-01,Antidepressants,7971111,16601801.86
2024-10-01,Anxiolytics,450042,1527198.52
2024-11-01,Antidepressants,7627756,16014934.86
2024-11-01,Anxiolytics,422063,1434257.1
2024-12-01,Antidepressants,7822603,16610716.39
2024-12-01,Anxiolytics,433873,1362959.16
2025-01-01,Antidepressants,8062819,16536406.19
2025-01-01,Anxiolytics,438728,1245302.73
2025-02-01,Antidepressants,7200659,14905262.14
2025-02-01,Anxiolytics,391758,1067347.97
2025-03-01,Antidepressants,7667917,16139138.129999999
2025-03-01,Anxiolytics,413034,1149330.04
2025-04-01,Antidepressants,7679188,15902680.54
2025-04-01,Anxiolytics,413449,1049904.75
2025-05-01,Antidepressants,7937221,16152021.43
2025-05-01,Anxiolytics,424496,1096435.72
2025-06-01,Antidepressants,7703062,15756822.63
2025-06-01,Anxiolytics,410358,1098752.18
2025-07-01,Antidepressants,8219648,15785710.53
2025-07-01,Anxiolytics,435900,1110761.54
