region,measure,value
all SubICBs,Count_WaitingForAssessment,153933.0
all SubICBs,Count_WaitingForAssessmentOver90days,12990.0
all SubICBs,Count_WaitingForTreatment,151439.0
all SubICBs,Count_WaitingForTreatment0to2weeks,64239.0
all SubICBs,Count_WaitingForTreatment0to4weeks,105097.0
all SubICBs,Count_WaitingForTreatment0to6weeks,125437.0
all SubICBs,Count_WaitingForTreatment0to12weeks,140809.0
all SubICBs,Count_WaitingForTreatment0to18weeks,143374.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,8065.0
all SubICBs,Count_WaitingForTreatmentOver90days,10214.0
Unknown,Count_WaitingForAssessment,1590.0
Unknown,Count_WaitingForAssessmentOver90days,140.0
Unknown,Count_WaitingForTreatment,1440.0
Unknown,Count_WaitingForTreatment0to2weeks,830.0
Unknown,Count_WaitingForTreatment0to4weeks,1280.0
Unknown,Count_WaitingForTreatment0to6weeks,1350.0
Unknown,Count_WaitingForTreatment0to12weeks,1385.0
Unknown,Count_WaitingForTreatment0to18weeks,1395.0
Unknown,Count_WaitingForTreatmentOver18weeks,50.0
Unknown,Count_WaitingForTreatmentOver90days,55.0
LONDON COMMISSIONING REGION,Count_WaitingForAssessment,26165.0
LONDON COMMISSIONING REGION,Count_WaitingForAssessmentOver90days,2775.0
LONDON COMMISSIONING REGION,Count_WaitingForTreatment,25285.0
LONDON COMMISSIONING REGION,Count_WaitingForTreatment0to2weeks,10525.0
LONDON COMMISSIONING REGION,Count_WaitingForTreatment0to4weeks,17210.0
LONDON COMMISSIONING REGION,Count_WaitingForTreatment0to6weeks,20550.0
LONDON COMMISSIONING REGION,Count_WaitingForTreatment0to12weeks,23150.0
LONDON COMMISSIONING REGION,Count_WaitingForTreatment0to18weeks,23655.0
LONDON COMMISSIONING REGION,Count_WaitingForTreatmentOver18weeks,1630.0
LONDON COMMISSIONING REGION,Count_WaitingForTreatmentOver90days,2055.0
SOUTH WEST COMMISSIONING REGION,Count_WaitingForAssessment,14405.0
SOUTH WEST COMMISSIONING REGION,Count_WaitingForAssessmentOver90days,400.0
SOUTH WEST COMMISSIONING REGION,Count_WaitingForTreatment,14140.0
SOUTH WEST COMMISSIONING REGION,Count_WaitingForTreatment0to2weeks,5855.0
SOUTH WEST COMMISSIONING REGION,Count_WaitingForTreatment0to4weeks,10400.0
SOUTH WEST COMMISSIONING REGION,Count_WaitingForTreatment0to6weeks,12585.0
SOUTH WEST COMMISSIONING REGION,Count_WaitingForTreatment0to12weeks,13900.0
SOUTH WEST COMMISSIONING REGION,Count_WaitingForTreatment0to18weeks,14015.0
SOUTH WEST COMMISSIONING REGION,Count_WaitingForTreatmentOver18weeks,125.0
SOUTH WEST COMMISSIONING REGION,Count_WaitingForTreatmentOver90days,215.0
SOUTH EAST COMMISSIONING REGION,Count_WaitingForAssessment,18335.0
SOUTH EAST COMMISSIONING REGION,Count_WaitingForAssessmentOver90days,605.0
SOUTH EAST COMMISSIONING REGION,Count_WaitingForTreatment,17305.0
SOUTH EAST COMMISSIONING REGION,Count_WaitingForTreatment0to2weeks,8840.0
SOUTH EAST COMMISSIONING REGION,Count_WaitingForTreatment0to4weeks,13580.0
SOUTH EAST COMMISSIONING REGION,Count_WaitingForTreatment0to6weeks,15680.0
SOUTH EAST COMMISSIONING REGION,Count_WaitingForTreatment0to12weeks,17085.0
SOUTH EAST COMMISSIONING REGION,Count_WaitingForTreatment0to18weeks,17195.0
SOUTH EAST COMMISSIONING REGION,Count_WaitingForTreatmentOver18weeks,110.0
SOUTH EAST COMMISSIONING REGION,Count_WaitingForTreatmentOver90days,205.0
MIDLANDS COMMISSIONING REGION,Count_WaitingForAssessment,28960.0
MIDLANDS COMMISSIONING REGION,Count_WaitingForAssessmentOver90days,1625.0
MIDLANDS COMMISSIONING REGION,Count_WaitingForTreatment,30365.0
MIDLANDS COMMISSIONING REGION,Count_WaitingForTreatment0to2weeks,12040.0
MIDLANDS COMMISSIONING REGION,Count_WaitingForTreatment0to4weeks,19770.0
MIDLANDS COMMISSIONING REGION,Count_WaitingForTreatment0to6weeks,24140.0
MIDLANDS COMMISSIONING REGION,Count_WaitingForTreatment0to12weeks,28390.0
MIDLANDS COMMISSIONING REGION,Count_WaitingForTreatment0to18weeks,29215.0
MIDLANDS COMMISSIONING REGION,Count_WaitingForTreatmentOver18weeks,1145.0
MIDLANDS COMMISSIONING REGION,Count_WaitingForTreatmentOver90days,1810.0
EAST OF ENGLAND COMMISSIONING REGION,Count_WaitingForAssessment,17340.0
EAST OF ENGLAND COMMISSIONING REGION,Count_WaitingForAssessmentOver90days,2730.0
EAST OF ENGLAND COMMISSIONING REGION,Count_WaitingForTreatment,16660.0
EAST OF ENGLAND COMMISSIONING REGION,Count_WaitingForTreatment0to2weeks,6520.0
EAST OF ENGLAND COMMISSIONING REGION,Count_WaitingForTreatment0to4weeks,10645.0
EAST OF ENGLAND COMMISSIONING REGION,Count_WaitingForTreatment0to6weeks,12725.0
EAST OF ENGLAND COMMISSIONING REGION,Count_WaitingForTreatment0to12weeks,14430.0
EAST OF ENGLAND COMMISSIONING REGION,Count_WaitingForTreatment0to18weeks,14860.0
EAST OF ENGLAND COMMISSIONING REGION,Count_WaitingForTreatmentOver18weeks,1800.0
EAST OF ENGLAND COMMISSIONING REGION,Count_WaitingForTreatmentOver90days,2170.0
NORTH WEST COMMISSIONING REGION,Count_WaitingForAssessment,27150.0
NORTH WEST COMMISSIONING REGION,Count_WaitingForAssessmentOver90days,2790.0
NORTH WEST COMMISSIONING REGION,Count_WaitingForTreatment,26760.0
NORTH WEST COMMISSIONING REGION,Count_WaitingForTreatment0to2weeks,10340.0
NORTH WEST COMMISSIONING REGION,Count_WaitingForTreatment0to4weeks,17760.0
NORTH WEST COMMISSIONING REGION,Count_WaitingForTreatment0to6weeks,21845.0
NORTH WEST COMMISSIONING REGION,Count_WaitingForTreatment0to12weeks,24305.0
NORTH WEST COMMISSIONING REGION,Count_WaitingForTreatment0to18weeks,24600.0
NORTH WEST COMMISSIONING REGION,Count_WaitingForTreatmentOver18weeks,2155.0
NORTH WEST COMMISSIONING REGION,Count_WaitingForTreatmentOver90days,2420.0
NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Count_WaitingForAssessment,19980.0
NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Count_WaitingForAssessmentOver90days,1920.0
NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Count_WaitingForTreatment,19485.0
NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Count_WaitingForTreatment0to2weeks,9280.0
NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Count_WaitingForTreatment0to4weeks,14450.0
NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Count_WaitingForTreatment0to6weeks,16560.0
NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Count_WaitingForTreatment0to12weeks,18160.0
NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Count_WaitingForTreatment0to18weeks,18435.0
NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Count_WaitingForTreatmentOver18weeks,1045.0
NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Count_WaitingForTreatmentOver90days,1290.0
all SubICBs,Count_WaitingForAssessment,30.0
all SubICBs,Count_WaitingForAssessmentOver90days,10.0
all SubICBs,Count_WaitingForTreatment,30.0
all SubICBs,Count_WaitingForTreatment0to2weeks,15.0
all SubICBs,Count_WaitingForTreatment0to4weeks,20.0
all SubICBs,Count_WaitingForTreatment0to6weeks,20.0
all SubICBs,Count_WaitingForTreatment0to12weeks,25.0
all SubICBs,Count_WaitingForTreatment0to18weeks,30.0
all SubICBs,Count_WaitingForTreatmentOver90days,5.0
all SubICBs,Count_WaitingForAssessment,360.0
all SubICBs,Count_WaitingForAssessmentOver90days,250.0
all SubICBs,Count_WaitingForTreatment,370.0
all SubICBs,Count_WaitingForTreatment0to2weeks,15.0
all SubICBs,Count_WaitingForTreatment0to4weeks,40.0
all SubICBs,Count_WaitingForTreatment0to6weeks,55.0
all SubICBs,Count_WaitingForTreatment0to12weeks,110.0
all SubICBs,Count_WaitingForTreatment0to18weeks,150.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,220.0
all SubICBs,Count_WaitingForTreatmentOver90days,260.0
all SubICBs,Count_WaitingForAssessment,415.0
all SubICBs,Count_WaitingForAssessmentOver90days,330.0
all SubICBs,Count_WaitingForTreatment,425.0
all SubICBs,Count_WaitingForTreatment0to2weeks,35.0
all SubICBs,Count_WaitingForTreatment0to4weeks,50.0
all SubICBs,Count_WaitingForTreatment0to6weeks,70.0
all SubICBs,Count_WaitingForTreatment0to12weeks,85.0
all SubICBs,Count_WaitingForTreatment0to18weeks,90.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,335.0
all SubICBs,Count_WaitingForTreatmentOver90days,340.0
all SubICBs,Count_WaitingForAssessment,195.0
all SubICBs,Count_WaitingForAssessmentOver90days,65.0
all SubICBs,Count_WaitingForTreatment,195.0
all SubICBs,Count_WaitingForTreatment0to2weeks,35.0
all SubICBs,Count_WaitingForTreatment0to4weeks,65.0
all SubICBs,Count_WaitingForTreatment0to6weeks,75.0
all SubICBs,Count_WaitingForTreatment0to12weeks,125.0
all SubICBs,Count_WaitingForTreatment0to18weeks,170.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,25.0
all SubICBs,Count_WaitingForTreatmentOver90days,65.0
all SubICBs,Count_WaitingForAssessment,85.0
all SubICBs,Count_WaitingForAssessmentOver90days,5.0
all SubICBs,Count_WaitingForTreatment,80.0
all SubICBs,Count_WaitingForTreatment0to2weeks,40.0
all SubICBs,Count_WaitingForTreatment0to4weeks,60.0
all SubICBs,Count_WaitingForTreatment0to6weeks,65.0
all SubICBs,Count_WaitingForTreatment0to12weeks,75.0
all SubICBs,Count_WaitingForTreatment0to18weeks,75.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,5.0
all SubICBs,Count_WaitingForTreatmentOver90days,5.0
all SubICBs,Count_WaitingForAssessment,180.0
all SubICBs,Count_WaitingForTreatment,180.0
all SubICBs,Count_WaitingForTreatment0to2weeks,110.0
all SubICBs,Count_WaitingForTreatment0to4weeks,165.0
all SubICBs,Count_WaitingForTreatment0to6weeks,175.0
all SubICBs,Count_WaitingForTreatment0to12weeks,180.0
all SubICBs,Count_WaitingForTreatment0to18weeks,180.0
