Region,Category,Volume_Items,Cost_GBP
Barnsley,Antidepressants,3295816,5618326.45
Barnsley,Anxiolytics,176578,742212.02
Basildon And Brentwood,Antidepressants,1775441,4959315.51
Basildon And Brentwood,Anxiolytics,82474,229395.2
Bassetlaw,Antidepressants,1301577,2606849.08
Bassetlaw,Anxiolytics,52043,132454.22
"Bath And North East Somerset, Swindon And Wiltshire",Antidepressants,7326238,16929572.46
"Bath And North East Somerset, Swindon And Wiltshire",Anxiolytics,533446,1012907.15
"Bedfordshire, Luton And Milton Keynes",Antidepressants,5855844,14038086.24
"Bedfordshire, Luton And Milton Keynes",Anxiolytics,398458,1248133.91
Berkshire West,Antidepressants,3063557,9757250.21
Berkshire West,Anxiolytics,143694,491855.95
Birmingham And Solihull,Antidepressants,8270038,20799351.26
Birmingham And Solihull,Anxiolytics,582189,2182264.56
Black Country,Antidepressants,8738187,21553938.05
Black Country,Anxiolytics,603215,2783478.05
Blackburn With Darwen,Antidepressants,1410485,2811056.14
Blackburn With Darwen,Anxiolytics,117222,448094.65
Blackpool,Antidepressants,2163305,4223713.71
Blackpool,Anxiolytics,73193,279917.45
Bolton,Antidepressants,2555501,5758984.3
Bolton,Anxiolytics,98035,580213.4
Bradford District And Craven,Antidepressants,4843584,10725337.16
Bradford District And Craven,Anxiolytics,252755,1147166.67
Brighton And Hove,Antidepressants,2334698,6677336.42
Brighton And Hove,Anxiolytics,260624,456395.87
"Bristol, North Somerset And South Gloucestershire",Antidepressants,6532259,16635177.55
"Bristol, North Somerset And South Gloucestershire",Anxiolytics,522143,1252619.31
Buckinghamshire,Antidepressants,2798880,8539509.52
Buckinghamshire,Anxiolytics,172362,712308.84
Bury,Antidepressants,1603798,4252958.72
Bury,Anxiolytics,59232,287225.07
Calderdale,Antidepressants,1958139,4092571.43
Calderdale,Anxiolytics,85327,276085.87
Cambridgeshire And Peterborough,Antidepressants,7743158,16890780.03
Cambridgeshire And Peterborough,Anxiolytics,405344,1115730.69
Cannock Chase,Antidepressants,1145949,2843160.36
Cannock Chase,Anxiolytics,69137,405647.28
Castle Point And Rochford,Antidepressants,1247753,3713443.45
Castle Point And Rochford,Anxiolytics,62332,245529.32
Cheshire,Antidepressants,6648276,14293859.87
Cheshire,Anxiolytics,364158,1360372.69
Chorley And South Ribble,Antidepressants,1548391,3943564.1
Chorley And South Ribble,Anxiolytics,75310,425025.54
Cornwall And The Isles Of Scilly,Antidepressants,5548208,13645224.91
Cornwall And The Isles Of Scilly,Anxiolytics,409440,787720.89
County Durham,Antidepressants,7631219,14151205.36
County Durham,Anxiolytics,251741,769723.28
Coventry And Warwickshire,Antidepressants,7397042,18436078.26
Coventry And Warwickshire,Anxiolytics,480624,1866569.27
Derby And Derbyshire,Antidepressants,8848202,20592915.96
Derby And Derbyshire,Anxiolytics,713475,1777050.76
Devon,Antidepressants,10406513,26084466.96
Devon,Anxiolytics,831693,2078704.32
Doncaster,Antidepressants,3205635,6210090.85
Doncaster,Anxiolytics,112959,436203.77
