Region,Mean_RTT
MIDLANDS COMMISSIONING REGION,17746.0
NORTH WEST COMMISSIONING REGION,16012.5
LONDON COMMISSIONING REGION,15300.0
NORTH EAST AND YORKSHIRE COMMISSIONING REGION,12060.5
SOUTH EAST COMMISSIONING REGION,10894.0
EAST OF ENGLAND COMMISSIONING REGION,9988.0
SOUTH WEST COMMISSIONING REGION,8604.0
NHS BLACK COUNTRY ICB - D2P2L,2271.2
NHS KENT AND MEDWAY ICB - 91Q,2120.0
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 52R,1865.2631578947369
NHS NORFOLK AND WAVENEY ICB - 26A,1810.25
all SubICBs,1551.743220338983
NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9Y0V,1489.642857142857
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB - 15C",1486.9565217391305
NHS DORSET ICB - 11J,1460.0
NHS WEST YORKSHIRE ICB - 15F,1442.2727272727273
"NHS SHROPSHIRE, TELFORD AND WREKIN ICB - M2L0M",1274.5
NHS NORTH EAST LONDON ICB - A3A8R,1263.6440677966102
NHS DEVON ICB - 15N,1133.2926829268292
NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB - 18C,1028.5
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB - 15A",1009.0
NHS COVENTRY AND WARWICKSHIRE ICB - B2M3M,981.25
NHS DERBY AND DERBYSHIRE ICB - 15M,975.2857142857143
NHS SOUTH YORKSHIRE ICB - 03N,972.75
NHS WEST YORKSHIRE ICB - 36J,910.5263157894736
NHS NORTHAMPTONSHIRE ICB - 78H,894.074074074074
NHS SUFFOLK AND NORTH EAST ESSEX ICB - 06L,885.5555555555555
NHS CHESHIRE AND MERSEYSIDE ICB - 12F,861.0
NHS BIRMINGHAM AND SOLIHULL ICB - 15E,850.4098360655738
NHS SOUTH EAST LONDON ICB - 72Q,814.6103896103896
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB - M1J4Y",814.4186046511628
NHS SUSSEX ICB - 70F,813.8461538461538
NHS CORNWALL AND THE ISLES OF SCILLY ICB - 11N,795.5
NHS HAMPSHIRE AND ISLE OF WIGHT ICB - 10R,794.4444444444445
NHS GLOUCESTERSHIRE ICB - 11M,775.0
NHS SUSSEX ICB - 09D,756.25
NHS SOMERSET ICB - 11X,755.0
NHS GREATER MANCHESTER ICB - 14L,742.1153846153846
NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,716.875
NHS GREATER MANCHESTER ICB - 01G,687.7272727272727
NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05W,650.7894736842105
NHS MID AND SOUTH ESSEX ICB - 06Q,620.9375
NHS NORTH WEST LONDON ICB - W2U3Z,614.6402877697842
NHS SOUTH YORKSHIRE ICB - 02X,611.75
NHS GREATER MANCHESTER ICB - 02H,598.5897435897435
NHS SUFFOLK AND NORTH EAST ESSEX ICB - 07K,596.9444444444445
NHS CHESHIRE AND MERSEYSIDE ICB - 99A,594.2857142857143
NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C,583.9285714285714
NHS LINCOLNSHIRE ICB - 71E,565.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 42D,560.7407407407408
